owner,name,language,stargazers_count,commit_count,branch_count,release_count,open_issues_count,contributor_count,forks_count,license,created_at,pushed_at,updated_at
Matt-Esch,virtual-dom,JavaScript,6910,412,7,34,140,31,419,MIT License,2014-01-23T17:12:21Z,2016-10-17T01:59:34Z,2016-11-03T19:44:54Z
google,traceur-compiler,JavaScript,6907,1,4,58,292,70,465,Apache License 2.0,2013-03-27T18:05:40Z,2016-09-15T16:37:36Z,2016-11-03T15:53:05Z
kadirahq,react-storybook,JavaScript,6906,846,4,59,78,160,347,MIT License,2016-03-18T04:23:44Z,2016-11-03T08:58:04Z,2016-11-03T20:12:53Z
TTTAttributedLabel,TTTAttributedLabel,Objective-C,6900,683,8,91,105,39,1378,MIT License,2011-05-06T23:37:12Z,2016-10-26T19:57:43Z,2016-11-03T12:37:18Z
FredrikNoren,ungit,JavaScript,6898,2,3,51,124,36,408,None,2013-05-19T10:44:44Z,2016-10-26T20:57:38Z,2016-11-03T15:31:46Z
hapijs,hapi,JavaScript,6891,4,2,147,20,241,712,None,2011-08-06T00:35:39Z,2016-11-02T21:59:17Z,2016-11-03T05:06:25Z
hehonghui,android-tech-frontier,,6889,1,4,16,27,0,2603,Apache License 2.0,2015-03-20T00:36:37Z,2016-09-27T02:32:01Z,2016-11-03T15:16:13Z
kkga,spacegray,JavaScript,6885,199,3,24,52,6,465,MIT License,2013-12-18T13:23:52Z,2016-09-27T11:41:54Z,2016-11-03T17:32:08Z
OpenEmu,OpenEmu,Objective-C,6885,5,9,71,145,14,787,None,2010-12-20T20:13:58Z,2016-11-02T03:38:50Z,2016-11-03T20:16:02Z
ConnorAtherton,loaders.css,CSS,6884,89,4,18,9,5,828,None,2015-02-20T05:17:02Z,2016-02-22T22:21:27Z,2016-11-03T12:43:25Z
Flipboard,FLEX,Objective-C,6880,491,1,32,20,16,698,"BSD 3-clause ""New"" or ""Revised"" License",2014-05-29T00:58:29Z,2016-10-21T02:48:29Z,2016-11-03T14:26:51Z
yudai,gotty,Go,6867,160,1,16,36,14,330,Mozilla Public License 2.0,2015-08-16T09:48:33Z,2016-11-01T16:30:25Z,2016-11-03T16:45:05Z
Compass,compass,CSS,6865,3,21,198,450,143,1240,Other,2008-08-23T17:02:18Z,2016-09-25T02:32:39Z,2016-11-03T18:53:17Z
godotengine,godot,C++,6862,5,6,257,1496,15,1783,Other,2014-01-04T16:05:36Z,2016-11-03T19:07:33Z,2016-11-03T16:32:14Z
tesseract-ocr,tesseract,C++,6861,1,4,39,61,17,1619,Other,2014-08-12T18:04:59Z,2016-11-01T20:20:40Z,2016-11-03T19:08:51Z
sorin-ionescu,prezto,Shell,6859,1,31,189,212,0,3179,None,2010-12-16T08:07:04Z,2016-10-29T21:53:47Z,2016-11-03T18:46:24Z
alexjc,neural-doodle,Python,6852,122,5,3,26,1,478,GNU Affero General Public License v3.0,2016-03-05T23:35:18Z,2016-10-30T20:28:56Z,2016-11-03T19:57:53Z
gorhill,uBlock,JavaScript,6848,4,3,57,158,162,467,GNU General Public License v3.0,2015-04-01T17:51:11Z,2016-11-03T15:20:46Z,2016-11-03T20:00:04Z
google,flatbuffers,C++,6834,953,5,121,124,8,1001,Apache License 2.0,2014-05-19T18:33:01Z,2016-11-03T01:13:05Z,2016-11-03T18:24:17Z
danialfarid,ng-file-upload,JavaScript,6830,1,4,92,90,225,1427,MIT License,2013-07-23T23:29:18Z,2016-10-26T21:13:37Z,2016-11-03T00:40:17Z
alibaba,fastjson,Java,6829,1,12,46,147,51,2578,Other,2011-11-03T06:58:52Z,2016-11-02T17:42:27Z,2016-11-03T15:59:18Z
WhisperSystems,Signal-Android,C,6828,2,87,129,759,175,1854,GNU General Public License v3.0,2011-12-15T20:01:12Z,2016-11-02T23:19:33Z,2016-11-03T17:41:37Z
NodeRedis,node_redis,JavaScript,6825,1,10,109,37,67,953,MIT License,2010-09-14T02:05:09Z,2016-10-31T20:09:28Z,2016-11-03T19:31:45Z
mperham,sidekiq,Ruby,6820,3,7,339,7,100,1198,Other,2012-01-16T23:17:27Z,2016-11-03T18:11:24Z,2016-11-03T17:10:07Z
jshint,jshint,JavaScript,6810,1,6,224,396,65,1459,MIT License,2011-01-19T22:28:53Z,2016-10-30T19:54:04Z,2016-11-03T11:31:03Z
tj,co,JavaScript,6803,299,1,54,24,36,462,MIT License,2013-06-06T04:06:16Z,2016-10-29T23:49:33Z,2016-11-03T16:08:05Z
MrRio,jsPDF,JavaScript,6788,934,21,77,326,15,1630,MIT License,2009-12-06T14:56:32Z,2016-10-31T22:10:35Z,2016-11-03T17:42:17Z
leereilly,games,,6785,549,1,109,129,0,800,None,2012-01-05T19:48:55Z,2016-10-31T04:41:00Z,2016-11-03T19:47:13Z
kangax,fabric.js,JavaScript,6783,3,9,141,209,26,1187,MIT License,2010-06-09T22:24:38Z,2016-11-01T10:11:02Z,2016-11-03T18:41:05Z
ochococo,Design-Patterns-In-Swift,Swift,6781,117,2,18,10,0,713,GNU General Public License v3.0,2014-07-13T18:15:14Z,2016-11-02T16:44:00Z,2016-11-03T15:20:25Z
matryer,bitbar,Objective-C,6774,640,15,56,73,26,232,MIT License,2013-11-13T21:00:12Z,2016-09-28T21:47:22Z,2016-11-03T19:43:39Z
Famous,famous,JavaScript,6770,932,16,16,3,12,809,Mozilla Public License 2.0,2014-04-09T18:05:24Z,2015-06-10T22:44:27Z,2016-11-02T07:04:48Z
cakephp,cakephp,PHP,6768,31,16,441,171,235,3059,MIT License,2010-05-08T14:38:22Z,2016-11-03T20:15:14Z,2016-11-03T15:05:38Z
xgrommx,awesome-redux,,6759,620,2,166,15,0,510,None,2015-07-05T23:33:49Z,2016-11-02T19:07:23Z,2016-11-03T16:45:15Z
tomchristie,django-rest-framework,Python,6755,6,5,613,139,91,2321,"BSD 2-clause ""Simplified"" License",2011-03-02T17:13:56Z,2016-11-03T13:17:49Z,2016-11-03T15:34:34Z
daimajia,AndroidSwipeLayout,Java,6753,168,5,16,246,20,1989,MIT License,2014-08-25T04:09:33Z,2016-10-20T07:36:14Z,2016-11-03T14:07:19Z
localForage,localForage,JavaScript,6748,903,5,67,87,44,431,Other,2013-10-31T00:10:06Z,2016-10-23T12:51:23Z,2016-11-03T16:23:06Z
nodemailer,nodemailer,JavaScript,6746,719,8,77,14,169,623,MIT License,2011-01-19T21:17:36Z,2016-10-12T16:50:26Z,2016-11-03T18:59:19Z
senchalabs,connect,JavaScript,6735,3,8,131,4,221,922,MIT License,2010-05-26T18:55:41Z,2016-10-20T02:59:55Z,2016-11-03T08:51:24Z
NetEase,pomelo,JavaScript,6735,914,24,46,305,88,1940,MIT License,2012-09-20T02:37:07Z,2016-10-21T09:27:46Z,2016-11-03T13:51:43Z
marmelab,gremlins.js,JavaScript,6721,154,6,12,26,1,294,MIT License,2013-10-21T08:47:12Z,2016-10-19T13:26:55Z,2016-11-03T19:19:18Z
javan,whenever,Ruby,6708,438,2,70,56,39,616,MIT License,2009-02-16T03:19:48Z,2016-10-13T02:22:43Z,2016-11-03T20:14:23Z
fish-shell,fish-shell,Shell,6707,6,12,306,572,44,637,Other,2012-05-10T03:00:55Z,2016-11-03T13:52:29Z,2016-11-03T19:22:08Z
zenorocha,alfred-workflows,,6686,144,1,11,1,21,554,None,2013-09-23T21:46:31Z,2016-09-19T20:07:29Z,2016-11-03T15:58:54Z
google,WebFundamentals,HTML,6683,7,17,194,107,3,1257,Apache License 2.0,2014-04-28T18:45:45Z,2016-11-03T19:47:57Z,2016-11-03T20:05:30Z
mwaterfall,MWPhotoBrowser,Objective-C,6679,188,2,4,265,20,2098,MIT License,2010-10-21T15:40:47Z,2016-11-01T04:12:27Z,2016-11-03T12:46:16Z
mailcheck,mailcheck,JavaScript,6663,160,1,16,17,7,403,MIT License,2012-03-12T07:36:39Z,2016-11-01T12:11:21Z,2016-11-03T15:59:28Z
ReactiveX,RxSwift,Swift,6662,2,8,138,19,41,890,MIT License,2015-04-07T21:25:17Z,2016-11-02T08:15:14Z,2016-11-03T12:59:47Z
android10,Android-CleanArchitecture,Java,6658,222,2,9,66,4,1757,Apache License 2.0,2014-08-19T14:09:26Z,2016-09-25T23:13:41Z,2016-11-03T14:38:51Z
jacomyal,sigma.js,JavaScript,6652,809,14,49,322,6,1066,MIT License,2012-03-11T15:17:40Z,2016-11-03T15:29:03Z,2016-11-03T19:08:06Z
dzenbot,DZNEmptyDataSet,Objective-C,6645,442,2,36,92,23,911,MIT License,2014-06-03T14:50:31Z,2016-10-31T18:40:35Z,2016-11-03T19:15:00Z
mailpile,Mailpile,Python,6645,5,5,109,451,12,708,Other,2011-10-30T23:45:22Z,2016-11-03T20:11:58Z,2016-11-03T18:02:32Z
lhorie,mithril.js,HTML,6641,1,3,137,65,38,519,MIT License,2014-03-17T01:59:39Z,2016-11-03T16:27:59Z,2016-11-02T23:57:07Z
JohnCoates,Aerial,Swift,6639,110,1,9,85,7,344,MIT License,2015-10-26T21:21:31Z,2016-10-23T11:37:13Z,2016-11-03T14:36:08Z
google,styleguide,HTML,6638,196,3,24,121,0,1809,None,2015-05-20T19:18:59Z,2016-10-12T15:42:00Z,2016-11-03T14:48:57Z
phanan,koel,PHP,6638,786,5,30,28,16,603,MIT License,2015-12-06T12:13:19Z,2016-11-02T22:26:04Z,2016-11-03T15:35:22Z
elastic,logstash,Ruby,6632,7,23,355,858,114,1940,Other,2010-11-18T01:31:50Z,2016-11-03T19:02:40Z,2016-11-03T16:14:04Z
prometheus,prometheus,Go,6628,3,20,110,184,64,622,Apache License 2.0,2012-11-24T11:14:12Z,2016-11-03T19:25:27Z,2016-11-03T18:51:59Z
ksoichiro,Android-ObservableScrollView,Java,6626,383,4,14,158,12,1729,Apache License 2.0,2014-11-08T14:45:20Z,2016-07-27T06:48:05Z,2016-11-03T15:12:46Z
forkingdog,UITableView-FDTemplateLayoutCell,Objective-C,6625,83,2,4,96,7,1469,MIT License,2015-04-16T13:14:19Z,2016-09-25T11:37:28Z,2016-11-03T13:00:58Z
romaonthego,RESideMenu,Objective-C,6615,383,1,28,123,34,1372,MIT License,2013-06-17T15:37:52Z,2016-07-07T03:12:17Z,2016-11-03T12:02:53Z
tmpvar,jsdom,JavaScript,6614,2,20,184,158,206,688,MIT License,2010-01-19T06:55:19Z,2016-11-02T19:37:57Z,2016-11-03T17:48:45Z
chenglou,react-motion,JavaScript,6612,727,3,53,75,18,324,MIT License,2015-06-11T07:38:23Z,2016-10-08T10:33:50Z,2016-11-03T15:51:47Z
tj,commander.js,JavaScript,6593,484,2,74,175,45,565,MIT License,2011-08-14T21:33:58Z,2016-11-03T16:47:12Z,2016-11-03T19:40:23Z
hakimel,Ladda,HTML,6590,155,1,16,7,22,767,MIT License,2013-06-05T08:30:13Z,2016-09-05T10:01:39Z,2016-11-03T09:46:13Z
google,gson,HTML,6588,1,17,45,221,34,1585,Apache License 2.0,2015-03-19T18:21:20Z,2016-11-02T12:10:01Z,2016-11-03T20:16:26Z
docker,kitematic,JavaScript,6584,2,6,57,181,88,683,Apache License 2.0,2014-08-27T20:44:59Z,2016-10-31T00:01:51Z,2016-11-03T16:39:39Z
xing,wysihtml5,JavaScript,6581,166,3,18,304,2,1087,MIT License,2011-06-20T09:07:20Z,2016-04-02T13:08:16Z,2016-11-03T14:57:11Z
amsul,pickadate.js,JavaScript,6576,710,4,73,227,37,833,MIT License,2012-11-16T01:36:42Z,2016-10-25T11:28:18Z,2016-11-03T15:14:50Z
